outcome,predictor,beta_std,ci_low,ci_high,se,p,n,n_total,prefix,sig
map_t2,map_t1,0.4075,0.4012,0.4137,0.003,0.0,95240,95240,Full Cohort,***
map_t3,map_t2,0.4202,0.4132,0.4262,0.0029,0.0,95240,95240,Full Cohort,***
map_t2,tyg_t1,0.0323,0.0262,0.0369,0.003,0.0,95240,95240,Full Cohort,***
map_t2,map_t1,0.4039,0.3972,0.4103,0.003,0.0,95240,95240,Full Cohort,***
map_t3,tyg_t2,0.0229,0.0169,0.0296,0.003,0.0,95240,95240,Full Cohort,***
map_t3,map_t2,0.4182,0.4112,0.4242,0.003,0.0,95240,95240,Full Cohort,***
egfr_t2,map_t1,-0.0315,-0.038,-0.0242,0.003,0.0,95240,95240,Full Cohort,***
egfr_t2,tyg_t1,0.0147,0.0078,0.0199,0.003,0.0,95240,95240,Full Cohort,***
egfr_t3,map_t2,-0.0305,-0.0369,-0.0256,0.0028,0.0,95240,95240,Full Cohort,***
egfr_t3,tyg_t2,0.0467,0.0414,0.0522,0.0028,0.0,95240,95240,Full Cohort,***
map_t2,map_t1,0.3402,0.3289,0.3504,0.0055,0.0,28774,28774,Stable Low-Risk,***
map_t3,map_t2,0.4225,0.4116,0.4345,0.0053,0.0,28774,28774,Stable Low-Risk,***
map_t2,tyg_t1,0.0489,0.0385,0.0603,0.0055,0.0,28774,28774,Stable Low-Risk,***
map_t2,map_t1,0.3414,0.33,0.3515,0.0055,0.0,28774,28774,Stable Low-Risk,***
map_t3,tyg_t2,0.0323,0.0193,0.0428,0.0054,0.0,28774,28774,Stable Low-Risk,***
map_t3,map_t2,0.42,0.4092,0.4319,0.0054,0.0,28774,28774,Stable Low-Risk,***
egfr_t2,map_t1,-0.0658,-0.0771,-0.0529,0.0056,0.0,28774,28774,Stable Low-Risk,***
egfr_t2,tyg_t1,0.0594,0.0498,0.0725,0.0056,0.0,28774,28774,Stable Low-Risk,***
egfr_t3,map_t2,-0.0438,-0.0531,-0.0341,0.0051,0.0,28774,28774,Stable Low-Risk,***
egfr_t3,tyg_t2,0.075,0.0644,0.0852,0.0051,0.0,28774,28774,Stable Low-Risk,***
map_t2,map_t1,0.3548,0.3431,0.3653,0.0054,0.0,29644,29644,Metabolic-Escalating,***
map_t3,map_t2,0.3847,0.3726,0.3935,0.0054,0.0,29644,29644,Metabolic-Escalating,***
map_t2,tyg_t1,0.0307,0.0188,0.0408,0.0055,0.0,29644,29644,Metabolic-Escalating,***
map_t2,map_t1,0.3592,0.3478,0.3702,0.0055,0.0,29644,29644,Metabolic-Escalating,***
map_t3,tyg_t2,0.0115,0.0005,0.0223,0.0054,0.0321,29644,29644,Metabolic-Escalating,*
map_t3,map_t2,0.3845,0.3723,0.3933,0.0054,0.0,29644,29644,Metabolic-Escalating,***
egfr_t2,map_t1,-0.0567,-0.0673,-0.0469,0.0053,0.0,29644,29644,Metabolic-Escalating,***
egfr_t2,tyg_t1,0.0158,0.0038,0.0238,0.0053,0.003,29644,29644,Metabolic-Escalating,**
egfr_t3,map_t2,-0.0143,-0.0243,-0.0044,0.0051,0.0047,29644,29644,Metabolic-Escalating,**
egfr_t3,tyg_t2,0.053,0.0418,0.0642,0.0051,0.0,29644,29644,Metabolic-Escalating,***
map_t2,map_t1,0.4073,0.3785,0.4402,0.0136,0.0,4500,4500,BP-Dominant,***
map_t3,map_t2,0.4176,0.3884,0.4431,0.0135,0.0,4500,4500,BP-Dominant,***
map_t2,tyg_t1,0.0287,0.004,0.0541,0.0137,0.0358,4500,4500,BP-Dominant,*
map_t2,map_t1,0.4043,0.3752,0.4374,0.0137,0.0,4500,4500,BP-Dominant,***
map_t3,tyg_t2,0.0063,-0.0237,0.029,0.0136,0.6441,4500,4500,BP-Dominant,ns
map_t3,map_t2,0.417,0.3891,0.4431,0.0136,0.0,4500,4500,BP-Dominant,***
egfr_t2,map_t1,-0.0651,-0.0928,-0.0358,0.0135,0.0,4500,4500,BP-Dominant,***
egfr_t2,tyg_t1,-0.0126,-0.0378,0.0131,0.0135,0.351,4500,4500,BP-Dominant,ns
egfr_t3,map_t2,-0.0205,-0.0465,0.0047,0.0129,0.1104,4500,4500,BP-Dominant,ns
egfr_t3,tyg_t2,0.0693,0.0444,0.0985,0.0128,0.0,4500,4500,BP-Dominant,***
map_t2,map_t1,0.3529,0.3442,0.3635,0.0052,0.0,32321,32321,Multi-system High-Risk,***
map_t3,map_t2,0.4363,0.4271,0.4465,0.005,0.0,32321,32321,Multi-system High-Risk,***
map_t2,tyg_t1,0.0429,0.035,0.0516,0.0052,0.0,32321,32321,Multi-system High-Risk,***
map_t2,map_t1,0.3538,0.3451,0.3644,0.0052,0.0,32321,32321,Multi-system High-Risk,***
map_t3,tyg_t2,0.0342,0.0247,0.0447,0.005,0.0,32321,32321,Multi-system High-Risk,***
map_t3,map_t2,0.4342,0.4246,0.4446,0.005,0.0,32321,32321,Multi-system High-Risk,***
egfr_t2,map_t1,-0.0008,-0.0129,0.0096,0.0052,0.8833,32321,32321,Multi-system High-Risk,ns
egfr_t2,tyg_t1,-0.0127,-0.0236,-0.0034,0.0052,0.0149,32321,32321,Multi-system High-Risk,*
egfr_t3,map_t2,-0.0301,-0.0409,-0.0204,0.005,0.0,32321,32321,Multi-system High-Risk,***
egfr_t3,tyg_t2,0.0244,0.0151,0.0331,0.005,0.0,32321,32321,Multi-system High-Risk,***
