traj_class,mean_val,n,variable,time
1,22.541430851790007,63482,bmi,0
2,24.757193117526977,57150,bmi,0
3,24.045983544598208,8599,bmi,0
4,20.91956378187789,70242,bmi,0
1,22.689987188197613,51515,bmi,1
2,24.43398404203221,47646,bmi,1
3,23.971434847635077,7132,bmi,1
4,21.16482603160208,57338,bmi,1
1,22.99631283194988,41924,bmi,2
2,24.524606001012337,40171,bmi,2
3,24.10884867881175,6093,bmi,2
4,21.307746740350574,46324,bmi,2
1,23.232580056781927,38208,bmi,3
2,24.60279004935489,36760,bmi,3
3,24.177492770648836,5533,bmi,3
4,21.44903782538501,43004,bmi,3
1,23.38339996898664,38693,bmi,4
2,24.68283258583087,37904,bmi,4
3,24.21139866876861,5709,bmi,4
4,21.577184717208183,43212,bmi,4
1,5.443536766327463,63482,fpg,0
2,5.588631652376786,57150,fpg,0
3,10.43717971635683,8599,fpg,0
4,5.3181837845624855,70242,fpg,0
1,5.570568248730143,51515,fpg,1
2,5.672860578327667,47646,fpg,1
3,8.524728530254876,7132,fpg,1
4,5.366596660736917,57338,fpg,1
1,5.7308368401552015,41924,fpg,2
2,5.765368941690938,40171,fpg,2
3,8.202081058409467,6093,fpg,2
4,5.395134576749273,46324,fpg,2
1,5.808866467755444,38208,fpg,3
2,5.849585187704026,36760,fpg,3
3,8.020991927224532,5533,fpg,3
4,5.418763319912655,43004,fpg,3
1,5.820547902721422,38693,fpg,4
2,5.786205246587871,37904,fpg,4
3,7.633887429205348,5709,fpg,4
4,5.342107967694159,43212,fpg,4
1,91.44988789473132,63482,map,0
2,106.22404654473746,57150,map,0
3,97.71200425667806,8599,map,0
4,91.3095058828368,70242,map,0
1,93.52748649260734,51515,map,1
2,100.32599921644348,47646,map,1
3,97.25210864959182,7132,map,1
4,93.65529141038908,57338,map,1
1,94.98075806485812,41924,map,2
2,99.68249143245956,40171,map,2
3,97.63835548990644,6093,map,2
4,94.89795606309184,46324,map,2
1,96.08192221787398,38208,map,3
2,98.97014072404444,36760,map,3
3,97.67301303291364,5533,map,3
4,95.48328776725089,43004,map,3
1,96.57635463778978,38693,map,4
2,98.18728967332676,37904,map,4
3,97.4207975710866,5709,map,4
4,96.17735145587132,43212,map,4
1,81.61198890919376,63482,egfr,0
2,65.79532497545173,57150,egfr,0
3,67.18085710145596,8599,egfr,0
4,60.05027746271861,70242,egfr,0
1,77.06275008822183,51515,egfr,1
2,69.34067314002723,47646,egfr,1
3,70.12435184925273,7132,egfr,1
4,66.40385940448058,57338,egfr,1
1,75.12299598474623,41924,egfr,2
2,69.54277422909698,40171,egfr,2
3,70.02140740606312,6093,egfr,2
4,68.03559206781185,46324,egfr,2
1,75.11190959730466,38208,egfr,3
2,72.08343132479197,36760,egfr,3
3,72.46618420471061,5533,egfr,3
4,71.16074713080808,43004,egfr,3
1,77.03286423729978,38693,egfr,4
2,74.8335970952247,37904,egfr,4
3,75.01433865555532,5709,egfr,4
4,74.64366345888259,43212,egfr,4
1,1.5036909129757474,63482,tg,0
2,1.760235892141683,57150,tg,0
3,3.464869792419925,8599,tg,0
4,1.3224709508898589,70242,tg,0
1,1.5726242261875658,51515,tg,1
2,1.7154186467242345,47646,tg,1
3,2.4137541527832016,7132,tg,1
4,1.3747294955991611,57338,tg,1
1,1.6980645251021058,41924,tg,2
2,1.7910146797155628,40171,tg,2
3,2.4352314155503656,6093,tg,2
4,1.439115955030781,46324,tg,2
1,1.7207177550564468,38208,tg,3
2,1.7757607660989605,36760,tg,3
3,2.3567998572311724,5533,tg,3
4,1.4131561758373787,43004,tg,3
1,1.7447358454568944,38693,tg,4
2,1.763650437495922,37904,tg,4
3,2.297452563292276,5709,tg,4
4,1.4326213744565717,43212,tg,4
